Office of the Superintendent of Bankruptcy,,,,,,,,,,,,,,,,,
Business Bankruptcy Statistics by the North American Industry Classification System by Province,,,,,,,,,,,,,,,,,
Year: 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bureau du surintendent des faillites,,,,,,,,,,,,,,,,,
Statistiques provinciales sur les faillites d'entreprise selon le Système de classification des industries de l'Amerique du Nord,,,,,,,,,,,,,,,,,
Année: 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TYPE,CODE,TITLE,TITRE,"N.L 
T.-N.-L.","N.S. 
N.-É.","P.E.I. 
Î.-P.-É.","N.B. 
N.-B.","QUE. 
QC","ONT. 
ONT.","MAN. 
MAN.","SASK. 
SASK.","ALTA. 
ALB.","B.C. 
C.-B.","N.W.T. 
T.-N.-O.","Y.T. 
YUKON","NUN. 
NUN.","CANADA 
CANADA"
National Industry / Industrie nationale:,114113,Salt water fishing,Pêche en eau salée,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,114114,Freshwater fishing,Pêche en eau douce,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry Group / Groupe industriel:,1142,Hunting and trapping,Chasse et piégeage,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Industry / Industrie:,11421,Hunting and trapping,Chasse et piégeage,0,0,0,0,0,0,0,0,0,1,0,0,0,1
National Industry / Industrie nationale:,114210,Hunting and trapping,Chasse et piégeage,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sub Sector / Sous-secteur:,115,Support activities for agriculture and forestry,Activités de soutien à l'agriculture et à la foresterie,0,2,0,0,13,2,1,0,2,0,0,0,0,20
Industry Group / Groupe industriel:,1151,Support activities for crop production,Activités de soutien aux cultures agricoles,0,0,0,0,3,0,1,0,2,0,0,0,0,6
Industry / Industrie:,11511,Support activities for crop production,Activités de soutien aux cultures agricoles,0,0,0,0,3,0,1,0,2,0,0,0,0,6
National Industry / Industrie nationale:,115110,Support activities for crop production,Activités de soutien aux cultures agricoles,0,0,0,0,3,0,1,0,2,0,0,0,0,6
Industry Group / Groupe industriel:,1152,Support activities for animal production,Activités de soutien à l'élevage,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11521,Support activities for animal production,Activités de soutien à l'élevage,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,115210,Support activities for animal production,Activités de soutien à l'élevage,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry Group / Groupe industriel:,1153,Support activities for forestry,Activités de soutien à la foresterie,0,2,0,0,9,2,0,0,0,0,0,0,0,13
Industry / Industrie:,11531,Support activities for forestry,Activités de soutien à la foresterie,0,2,0,0,9,2,0,0,0,0,0,0,0,13
National Industry / Industrie nationale:,115310,Support activities for forestry,Activités de soutien à la foresterie,0,2,0,0,9,2,0,0,0,0,0,0,0,13
Sector / Secteur:,21,"Mining, quarrying, and oil and gas extraction","Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",0,0,0,0,3,6,0,1,4,2,0,0,0,16
Sub Sector / Sous-secteur:,211,Oil and gas extraction,Extraction de pétrole et de gaz,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Industry Group / Groupe industriel:,2111,Oil and gas extraction,Extraction de pétrole et de gaz,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Industry / Industrie:,21111,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),0,0,0,0,0,0,0,1,0,0,0,0,0,1
National Industry / Industrie nationale:,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),0,0,0,0,0,0,0,1,0,0,0,0,0,1
Industry / Industrie:,21114,Oil sands extraction,Extraction de sables bitumineux,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,211141,In-situ oil sands extraction,Extraction in situ de sables bitumineux,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,211142,Mined oil sands extraction,Extraction minière de sables bitumineux,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub Sector / Sous-secteur:,212,Mining and quarrying (except oil and gas),"Extraction minière et exploitation en carrière (sauf l'extraction de pétrole et
de gaz)",0,0,0,0,2,3,0,0,1,1,0,0,0,7
Industry Group / Groupe industriel:,2121,Coal mining,Extraction de charbon,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Industry / Industrie:,21211,Coal mining,Extraction de charbon,0,0,0,0,0,1,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,212114,Bituminous coal mining,Extraction de charbon bitumineux,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212115,Subbituminous coal mining,Extraction de charbon subbitumineux,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212116,Lignite coal mining,Extraction de charbon de lignite,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Industry Group / Groupe industriel:,2122,Metal ore mining,Extraction de minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21221,Iron ore mining,Extraction de minerais de fer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212210,Iron ore mining,Extraction de minerais de fer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21222,Gold and silver ore mining,Extraction de minerais d'or et d'argent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212220,Gold and silver ore mining,Extraction de minerais d'or et d'argent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21223,"Copper, nickel, lead and zinc ore mining","Extraction de minerais de cuivre, de nickel, de plomb et de zinc",0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212231,Lead-zinc ore mining,Extraction de minerais de plomb-zinc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212232,Nickel-copper ore mining,Extraction de minerais de nickel-cuivre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212233,Copper-zinc ore mining,Extraction de minerais de cuivre-zinc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21229,Other metal ore mining,Extraction d'autres minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212291,Uranium ore mining,Extraction de minerais d'uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212299,All other metal ore mining,Extraction de tous les autres minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,2123,Non-metallic mineral mining and quarrying,Extraction de minerais non métalliques,0,0,0,0,2,2,0,0,1,1,0,0,0,6
Industry / Industrie:,21231,Stone mining and quarrying,Extraction de pierre,0,0,0,0,0,2,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,212314,Granite mining and quarrying,Extraction de granite,0,0,0,0,0,1,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,212315,Limestone mining and quarrying,Extraction de calcaire,0,0,0,0,0,1,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,212316,Marble mining and quarrying,Extraction de marbre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212317,Sandstone mining and quarrying,Extraction de grès,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and
quarrying","Extraction de sable, de gravier, d'argile, de céramique et de minerais
réfractaires",0,0,0,0,1,0,0,0,1,0,0,0,0,2
National Industry / Industrie nationale:,212323,Sand and gravel mining and quarrying,Extraction de sable et de gravier,0,0,0,0,1,0,0,0,1,0,0,0,0,2
National Industry / Industrie nationale:,212326,"Shale, clay and refractory mineral mining and quarrying","Extraction de schiste, d'argile et de minerais réfractaires",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,21239,Other non-metallic mineral mining and quarrying,Extraction d'autres minerais non métalliques,0,0,0,0,1,0,0,0,0,1,0,0,0,2
National Industry / Industrie nationale:,212392,Diamond mining,Extraction de diamant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212393,Salt mining,Extraction de sel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212394,Asbestos mining,Extraction d'amiante,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,212395,Gypsum mining,Extraction de gypse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212396,Potash mining,Extraction de potasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212397,Peat extraction,Extraction de tourbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,212398,All other non-metallic mineral mining and quarrying,Extraction de tous les autres minerais non métalliques,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sub Sector / Sous-secteur:,213,"Support activities for mining, and oil and gas extraction","Activités de soutien à l'extraction minière, pétrolière et gazière",0,0,0,0,1,3,0,0,3,1,0,0,0,8
Industry Group / Groupe industriel:,2131,"Support activities for mining, and oil and gas extraction","Activités de soutien à l'extraction minière, pétrolière et gazière",0,0,0,0,1,3,0,0,3,1,0,0,0,8
Industry / Industrie:,21311,"Support activities for mining, and oil and gas extraction","Activités de soutien à l'extraction minière, pétrolière et gazière",0,0,0,0,1,3,0,0,3,1,0,0,0,8
National Industry / Industrie nationale:,213111,Oil and gas contract drilling,Forage à forfait de puits de pétrole et de gaz,0,0,0,0,0,0,0,0,2,0,0,0,0,2
National Industry / Industrie nationale:,213117,Contract drilling (except oil and gas),Forage à forfait (sauf de puits de pétrole et de gaz),0,0,0,0,0,3,0,0,0,0,0,0,0,3
National Industry / Industrie nationale:,213118,Services to oil and gas extraction,Services relatifs à l'extraction de pétrole et de gaz,0,0,0,0,0,0,0,0,1,0,0,0,0,1
National Industry / Industrie nationale:,213119,Other support activities for mining,Autres activités de soutien à l'extraction minière,0,0,0,0,1,0,0,0,0,1,0,0,0,2
Sector / Secteur:,22,Utilities,Services publics,0,1,0,0,3,3,0,0,0,2,0,0,0,9
Sub Sector / Sous-secteur:,221,Utilities,Services publics,0,1,0,0,3,3,0,0,0,2,0,0,0,9
Industry Group / Groupe industriel:,2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",0,1,0,0,3,3,0,0,0,0,0,0,0,7
Industry / Industrie:,22111,Electric power generation,Production d'électricité,0,1,0,0,3,1,0,0,0,0,0,0,0,5
National Industry / Industrie nationale:,221111,Hydro-electric power generation,Production d'hydroélectricité,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221112,Fossil-fuel electric power generation,Production d'électricité à partir de combustibles fossiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221113,Nuclear electric power generation,Production d'électricité d'origine nucléaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221119,Other electric power generation,Autres activités de production d'électricité,0,1,0,0,3,1,0,0,0,0,0,0,0,5
Industry / Industrie:,22112,"Electric power transmission, control and distribution","Transport, gestion et distribution d'électricité",0,0,0,0,0,2,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,221121,Electric bulk power transmission and control,Transport et gestion d'électricité en bloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221122,Electric power distribution,Distribution d'électricité,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Industry Group / Groupe industriel:,2212,Natural gas distribution,Distribution de gaz naturel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,22121,Natural gas distribution,Distribution de gaz naturel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221210,Natural gas distribution,Distribution de gaz naturel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,2213,"Water, sewage and other systems",Réseaux d'aqueduc et d'égout et autres,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Industry / Industrie:,22131,Water supply and irrigation systems,Réseaux d'aqueduc et systèmes d'irrigation,0,0,0,0,0,0,0,0,0,2,0,0,0,2
National Industry / Industrie nationale:,221310,Water supply and irrigation systems,Réseaux d'aqueduc et systèmes d'irrigation,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Industry / Industrie:,22132,Sewage treatment facilities,Installations d'épuration des eaux usées,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221320,Sewage treatment facilities,Installations d'épuration des eaux usées,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,22133,Steam and air-conditioning supply,Production de vapeur et conditionnement de l'air,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,221330,Steam and air-conditioning supply,Production de vapeur et conditionnement de l'air,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sector / Secteur:,23,Construction,Construction,4,6,2,3,347,207,5,6,28,29,0,0,0,637
